,Court,Surface,round,Best of,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,hand_player1,height_player1,hand_player2,height_player2,age_player1,age_player2,T,Y
0,Outdoor,Hard,2,3,7,208,-1,-1,1.13,5.5,R,180.0,R,175.0,19,21,1,1
1,Outdoor,Hard,3,3,39,10,-1,-1,2.6625,1.3675000000000002,R,180.0,R,185.0,25,26,1,1
2,Outdoor,Hard,3,3,87,91,-1,-1,1.9166666666666667,1.653333333333333,R,183.0,R,193.0,21,21,1,1
3,Outdoor,Hard,1,3,131,188,-1,-1,2.0,1.45,R,180.0,R,178.0,18,27,0,0
4,Outdoor,Hard,1,3,93,52,-1,-1,2.333333333333333,1.41,R,185.0,L,180.0,21,19,1,0
5,Outdoor,Hard,1,3,113,14,-1,-1,2.033333333333333,1.55,R,183.0,L,183.0,18,25,1,0
6,Outdoor,Hard,2,3,197,181,-1,-1,2.015,1.6175000000000002,R,188.0,R,188.0,19,19,0,1
7,Outdoor,Hard,1,3,30,51,-1,-1,1.3266666666666669,2.6666666666666665,L,175.0,R,188.0,27,27,0,0
8,Outdoor,Hard,1,3,40,38,-1,-1,1.6499999999999997,1.883333333333333,R,196.0,R,185.0,23,27,0,1
9,Outdoor,Hard,1,3,33,67,-1,-1,1.5125,2.2375,R,190.0,R,183.0,23,21,0,1
10,Outdoor,Hard,2,3,36,17,-1,-1,1.8875,1.7075,R,180.0,R,183.0,25,23,0,1
11,Outdoor,Hard,1,3,16,44,-1,-1,1.695,1.87,R,188.0,R,183.0,31,28,1,0
12,Outdoor,Hard,1,3,84,7,-1,-1,3.3875,1.2225,L,190.0,R,180.0,29,19,0,0
13,Outdoor,Hard,1,3,188,112,-1,-1,1.9333333333333331,1.6499999999999997,R,178.0,L,180.0,29,32,0,1
14,Outdoor,Hard,2,3,60,20,-1,-1,2.4,1.4425,R,180.0,R,188.0,24,22,0,1
15,Outdoor,Hard,2,5,48,185,-1,-1,1.45,2.5,L,175.0,R,183.0,24,25,1,1
16,Outdoor,Hard,2,5,34,43,-1,-1,1.295,2.9125,R,180.0,L,180.0,25,35,0,1
17,Outdoor,Hard,2,5,4,47,-1,-1,1.28,2.975,R,188.0,R,178.0,24,28,0,1
18,Outdoor,Hard,2,5,72,17,-1,-1,2.67,1.3525,R,183.0,R,188.0,30,31,1,0
19,Outdoor,Hard,2,5,57,3,-1,-1,4.5,1.1225,R,188.0,R,185.0,25,29,1,0
20,Outdoor,Hard,2,5,228,69,-1,-1,2.0375,1.5925,R,185.0,R,175.0,23,21,1,1
21,Outdoor,Hard,3,5,29,18,-1,-1,1.555,2.1625,R,185.0,R,173.0,19,23,1,0
22,Outdoor,Hard,3,5,113,49,-1,-1,2.1125,1.5675,R,183.0,R,180.0,18,24,1,1
23,Outdoor,Hard,3,5,5,68,-1,-1,1.1525,4.075,R,190.0,R,188.0,26,28,1,1
