,surface,best_of,Round,player_hand,player_ht,player_age,player_rank,opponent_hand,opponent_ht,opponent_age,opponent_rank,log_rank_difference,T,Y
24,Clay,3,1,R,175.0,25.0,342.0,L,178.0,24.1,313.0,0.12783366795327922,1,1
35,Hard,3,1,R,190.0,20.3,282.0,R,188.0,18.9,25.0,3.4956951626240693,0,0
44,Hard,3,1,R,190.0,20.8,11.0,R,183.0,22.0,98.0,-3.155278225477911,1,1
58,Hard,3,1,L,175.0,24.0,52.0,L,183.0,25.3,14.0,1.8930847960834885,1,1
64,Hard,3,1,R,193.0,24.5,42.0,R,185.0,32.0,28.0,0.584962500721157,0,0
74,Carpet,3,1,R,196.0,18.4,701.0,R,185.0,17.8,186.0,1.9141118229025924,0,1
85,Hard,3,4,R,188.0,27.3,7.0,R,183.0,30.3,77.0,-3.459431618637297,1,1
90,Clay,3,1,R,188.0,24.4,53.0,R,193.0,21.5,256.0,-2.2720795454368012,1,1
121,Hard,3,2,R,183.0,33.7,19.0,R,193.0,21.4,11.0,0.7884958948062879,0,0
123,Hard,3,2,R,191.0,29.9,92.0,R,180.0,25.0,83.0,0.14852252471008853,0,1
124,Hard,3,2,R,193.0,25.1,9.0,R,196.0,26.7,16.0,-0.8300749985576878,1,1
135,Carpet,3,1,R,191.0,33.3,68.0,R,188.0,36.6,27.0,1.3325753390868709,0,0
139,Clay,3,1,R,183.0,25.5,5.0,L,180.0,20.9,2.0,1.3219280948873622,1,1
157,Hard,3,1,R,183.0,35.0,399.0,R,180.0,22.7,302.0,0.40184019689726647,1,1
165,Hard,3,1,R,185.0,22.8,127.0,L,183.0,32.0,545.0,-2.101427732892123,1,1
179,Clay,3,1,R,180.0,19.5,181.0,R,185.0,22.8,219.0,-0.274941172517968,1,1
182,Hard,3,1,R,183.0,19.0,256.0,R,180.0,23.2,147.0,0.8003276551636356,1,1
204,Hard,3,1,R,170.0,33.2,658.0,R,183.0,22.4,56.0,3.5545888516776376,0,0
216,Hard,3,4,L,193.0,28.6,54.0,L,175.0,31.0,85.0,-0.6545034339742335,0,1
232,Hard,3,3,R,185.0,20.4,141.0,R,188.0,21.9,45.0,1.647698256069119,0,0
233,Hard,3,1,R,180.0,28.5,429.0,R,185.0,21.6,411.0,0.06183925381786182,1,0
238,Hard,3,6,R,188.0,33.7,239.0,R,198.0,22.8,16.0,3.9008668079807487,0,0
267,Clay,3,2,L,180.0,28.4,5.0,L,180.0,21.9,2.0,1.3219280948873622,1,0
290,Carpet,3,1,L,190.0,21.7,150.0,R,188.0,21.0,165.0,-0.1375035237499347,0,0
304,Carpet,3,1,R,196.0,28.3,119.0,R,175.0,19.2,440.0,-1.8865419502167162,1,0
314,Hard,3,1,R,180.0,24.5,232.0,R,180.0,26.7,453.0,-0.9653862449186628,1,1
342,Hard,3,4,R,183.0,26.5,44.0,R,183.0,19.6,79.0,-0.8443491295398058,1,1
358,Hard,3,3,R,185.0,22.8,15.0,R,183.0,32.0,25.0,-0.7369655941662057,1,1
361,Hard,3,3,R,188.0,31.3,63.0,R,172.0,25.6,30.0,1.070389327891398,0,1
372,Hard,3,1,R,196.0,24.8,9.0,R,183.0,33.7,19.0,-1.078002512001273,0,1
374,Hard,3,2,R,185.0,25.4,88.0,R,193.0,32.5,98.0,-0.15527822547791104,0,1
375,Hard,3,1,R,193.0,25.1,9.0,R,196.0,25.8,10.0,-0.15200309344505003,1,1
386,Carpet,3,1,R,170.0,25.8,8.0,L,178.0,27.9,4.0,1.0,1,0
399,Grass,3,1,L,178.0,23.5,226.0,R,185.0,18.2,390.0,-0.7871513513344226,1,0
413,Hard,3,1,R,178.0,19.7,50.0,R,180.0,20.8,84.0,-0.7484612330040363,1,1
414,Carpet,3,1,R,185.0,24.7,148.0,R,185.0,19.5,139.0,0.09051229290544249,1,1
423,Hard,3,1,L,193.0,22.3,37.0,L,190.0,30.9,71.0,-0.9402937538757321,0,1
431,Clay,3,1,R,180.0,24.9,174.0,R,180.0,23.5,126.0,0.46566357234881117,0,0
438,Hard,3,1,R,185.0,23.5,64.0,R,188.0,26.1,30.0,1.0931094043914813,0,0
455,Hard,3,3,R,175.0,27.8,48.0,L,188.0,27.0,40.0,0.26303440583379345,0,0
465,Hard,3,4,R,193.0,22.2,43.0,R,188.0,24.3,40.0,0.10433665981473528,0,0
474,Hard,3,4,R,193.0,26.1,172.0,R,183.0,21.6,100.0,0.7824085649273735,1,1
487,Hard,3,3,R,188.0,28.0,44.0,R,183.0,18.8,208.0,-2.2410080995037953,0,0
533,Hard,3,1,L,185.0,21.0,138.0,R,180.0,21.7,157.0,-0.1860962921134579,1,1
543,Hard,3,1,L,188.0,25.8,17.0,R,188.0,26.2,81.0,-2.252387161634285,1,1
547,Hard,3,1,R,188.0,30.1,70.0,R,185.0,24.3,13.0,2.428843298803874,0,0
561,Hard,3,1,R,183.0,21.2,67.0,R,190.0,23.6,33.0,1.0216950710993187,0,0
563,Hard,3,1,L,175.0,27.6,204.0,R,173.0,26.3,103.0,0.9859248147882766,1,1
590,Clay,3,1,R,185.0,25.7,61.0,R,190.0,23.8,112.0,-0.876617584494717,1,1
595,Hard,3,1,R,178.0,29.1,509.0,R,183.0,31.0,362.0,0.4916759589924897,1,0
596,Clay,3,1,L,190.0,32.9,61.0,R,190.0,30.9,96.0,-0.6542251631582694,0,1
603,Hard,3,4,L,183.0,33.6,110.0,L,190.0,25.4,34.0,1.6938968722743208,1,0
616,Hard,3,5,R,196.0,28.0,18.0,R,198.0,22.8,16.0,0.16992500144231215,1,0
620,Hard,3,1,R,185.0,32.3,137.0,R,183.0,20.7,145.0,-0.08187700705440815,1,0
623,Hard,3,5,R,183.0,26.8,179.0,R,191.0,25.1,151.0,0.24541103793917785,0,1
634,Carpet,3,1,R,178.0,26.4,63.0,R,190.0,21.7,98.0,-0.6374299206152916,0,1
663,Clay,3,1,R,193.0,21.0,301.0,L,190.0,21.5,369.0,-0.2938573293006943,0,1
693,Hard,3,1,R,185.0,29.1,30.0,R,188.0,21.8,25.0,0.26303440583379434,0,0
695,Hard,3,1,R,180.0,23.6,272.0,R,185.0,22.8,370.0,-0.44391861926597365,1,1
697,Carpet,3,1,R,193.0,17.7,521.0,R,196.0,19.0,527.0,-0.016519589358706455,0,0
698,Hard,3,1,R,180.0,24.6,218.0,R,193.0,20.9,278.0,-0.35075674794658074,0,0
719,Clay,3,1,R,188.0,28.4,84.0,R,185.0,24.2,201.0,-1.2587342684001683,1,1
726,Hard,3,4,R,188.0,26.8,34.0,L,183.0,25.5,59.0,-0.7951802081115025,1,1
737,Hard,3,1,R,190.0,31.1,448.0,R,193.0,20.6,458.0,-0.031848866039339896,1,1
740,Hard,3,2,L,190.0,32.1,291.0,R,180.0,33.4,239.0,0.2840085349275343,0,0
743,Hard,3,1,R,208.0,40.8,123.0,L,198.0,26.4,102.0,0.2700891633677447,1,0
746,Hard,3,1,R,183.0,33.5,123.0,R,180.0,29.3,62.0,0.988318194952365,1,1
775,Hard,3,1,R,185.0,31.7,93.0,R,180.0,36.6,76.0,0.2912312976644458,1,0
780,Hard,3,1,L,183.0,24.0,292.0,R,188.0,29.9,182.0,0.6820299186813212,0,1
784,Clay,3,1,R,183.0,27.7,186.0,R,175.0,23.5,271.0,-0.5429902302458398,0,0
797,Hard,3,1,R,185.0,22.5,64.0,R,183.0,23.2,163.0,-1.3487281542310772,0,1
828,Hard,3,1,R,193.0,26.7,49.0,R,190.0,23.9,25.0,0.970853654340484,1,0
831,Hard,3,3,R,185.0,23.5,20.0,R,185.0,24.2,33.0,-0.7224660244710908,0,1
848,Clay,3,1,R,183.0,30.2,63.0,R,193.0,27.3,93.0,-0.5618788876081142,1,0
855,Hard,3,4,R,190.0,32.6,177.0,R,203.0,28.6,16.0,3.4676055500829976,1,1
911,Hard,3,1,R,185.0,29.5,92.0,R,185.0,25.1,256.0,-1.476438043942987,1,1
918,Carpet,3,1,L,178.0,28.0,93.0,L,183.0,22.1,171.0,-0.8786937037778673,0,0
925,Hard,3,1,L,185.0,29.0,58.0,R,178.0,24.7,33.0,0.8135868757691185,1,0
926,Carpet,3,1,R,188.0,30.7,132.0,R,180.0,20.8,114.0,0.2115041051937121,0,0
927,Hard,3,1,R,196.0,26.2,53.0,R,185.0,26.8,38.0,0.47999294111961355,1,0
934,Hard,3,1,R,188.0,23.7,334.0,R,180.0,24.7,43.0,2.957439537771954,0,0
945,Hard,3,1,R,190.0,27.6,234.0,R,183.0,26.3,160.0,0.5484366246960422,0,0
966,Clay,3,1,R,193.0,20.5,212.0,R,190.0,24.1,87.0,1.2849769587144708,1,1
992,Hard,3,4,R,188.0,33.7,239.0,R,191.0,25.9,77.0,1.6340802672858477,1,1
1032,Clay,3,1,L,185.0,23.5,364.0,R,170.0,26.0,171.0,1.089942125312798,0,0
1047,Hard,3,1,R,185.0,22.0,20.0,R,178.0,23.7,90.0,-2.169925001442312,1,1
1049,Hard,3,1,R,183.0,27.3,82.0,R,188.0,31.1,35.0,1.2282689876731174,0,1
1069,Hard,3,1,R,185.0,23.7,225.0,R,185.0,24.7,173.0,0.3791529635803128,0,1
1081,Hard,3,3,R,180.0,26.4,19.0,R,190.0,24.6,36.0,-0.9219974879987269,1,0
1100,Hard,3,4,R,193.0,23.2,147.0,R,173.0,25.2,170.0,-0.2097185913013373,1,0
1107,Hard,3,3,R,193.0,28.2,60.0,R,188.0,19.6,51.0,0.23446525363702353,0,0
1114,Hard,3,2,R,188.0,26.6,238.0,R,185.0,22.6,341.0,-0.5188101657162294,1,1
1120,Hard,3,1,R,193.0,30.9,98.0,R,180.0,27.9,64.0,0.6147098441152083,0,1
1125,Hard,3,1,R,185.0,25.4,88.0,R,193.0,31.1,128.0,-0.5405683813627027,0,1
1156,Clay,3,1,L,185.0,27.3,187.0,R,175.0,28.9,170.0,0.1375035237499347,1,0
1160,Clay,3,1,R,170.0,19.5,347.0,L,175.0,24.2,284.0,0.28904473307357925,0,1
1163,Hard,3,1,R,193.0,20.4,228.0,L,173.0,23.8,66.0,1.788495894806288,1,0
1165,Hard,3,1,R,193.0,21.4,156.0,R,196.0,23.6,57.0,1.4525122046975074,0,1
1166,Carpet,3,1,R,190.0,22.0,191.0,R,190.0,28.3,149.0,0.3582603075735875,0,0
1167,Hard,3,1,L,190.0,19.7,69.0,R,180.0,25.4,58.0,0.25054346165059727,0,0
1170,Hard,3,1,R,183.0,20.6,228.0,L,183.0,18.2,764.0,-1.7445388138710083,0,1
1184,Hard,3,1,R,185.0,26.7,231.0,R,178.0,25.2,160.0,0.5298209465286945,0,0
1214,Clay,3,1,R,183.0,23.0,190.0,R,193.0,22.6,83.0,1.1948161769840233,0,1
1218,Hard,3,4,L,185.0,30.4,77.0,L,175.0,24.2,164.0,-1.0907654639231827,1,1
1226,Clay,3,1,R,193.0,26.9,78.0,R,190.0,33.2,116.0,-0.5725787762653232,0,0
1238,Hard,3,2,R,191.0,25.2,263.0,R,183.0,24.9,241.0,0.12602965306234015,0,1
1280,Clay,3,1,R,190.0,21.4,602.0,R,196.0,26.7,168.0,1.841302253980941,1,1
1286,Hard,3,1,R,175.0,25.3,88.0,L,188.0,24.2,72.0,0.28950661719498516,1,1
1292,Hard,3,1,R,201.0,18.7,468.0,R,188.0,21.8,209.0,1.1630055875025223,0,0
1312,Hard,3,1,R,183.0,24.6,53.0,R,188.0,26.3,120.0,-1.17897014104532,1,0
1323,Hard,3,1,R,185.0,27.5,213.0,R,190.0,19.6,435.0,-1.0301619705102523,0,0
1330,Hard,3,1,R,183.0,26.9,79.0,R,185.0,26.8,55.0,0.5224210346524432,1,0
1333,Clay,3,1,R,175.0,26.7,265.0,R,178.0,21.9,72.0,1.8799235480082501,1,0
1336,Hard,3,4,R,188.0,23.7,173.0,R,180.0,28.8,65.0,1.4122604146082702,1,0
1342,Hard,3,4,R,185.0,28.4,115.0,L,183.0,23.5,87.0,0.40254655509564685,1,1
1348,Hard,3,4,R,188.0,27.3,45.0,R,198.0,25.2,37.0,0.28239973070072466,1,0
1355,Hard,3,3,R,188.0,26.0,32.0,R,193.0,29.8,22.0,0.5405683813627027,0,0
1361,Hard,3,3,R,188.0,22.9,50.0,L,185.0,18.7,51.0,-0.02856915219677081,0,1
1366,Hard,3,1,R,183.0,20.8,18.0,R,175.0,29.6,42.0,-1.2223924213364485,0,1
1382,Hard,3,1,R,173.0,25.5,101.0,R,183.0,24.0,60.0,0.7513208871432759,1,0
1384,Carpet,3,2,R,185.0,20.1,52.0,R,183.0,30.4,3.0,4.1154772174199366,1,1
1402,Hard,3,1,R,185.0,21.2,162.0,R,170.0,19.0,44.0,1.880418384247327,1,1
1403,Hard,3,1,R,190.0,21.4,228.0,R,183.0,28.5,83.0,1.4578505828178168,0,0
1418,Hard,3,1,R,188.0,28.6,257.0,R,185.0,18.8,342.0,-0.41222796569201847,1,1
1447,Hard,3,1,R,180.0,25.6,150.0,R,193.0,21.9,192.0,-0.35614381022527475,0,0
1453,Hard,3,3,R,183.0,23.0,43.0,R,183.0,23.1,17.0,1.3388019134517588,1,1
1460,Hard,3,4,R,188.0,28.6,76.0,R,193.0,23.3,13.0,2.547487795302493,0,1
1466,Hard,3,4,R,180.0,23.1,15.0,L,185.0,28.1,74.0,-2.3025627700204314,1,1
1468,Clay,3,1,R,183.0,35.3,131.0,R,188.0,22.9,98.0,0.4187131574222418,1,1
1474,Clay,3,1,R,180.0,28.9,113.0,R,175.0,24.8,91.0,0.3123843222164915,0,0
1477,Hard,3,2,R,183.0,17.7,546.0,L,198.0,24.3,382.0,0.5153283128841029,1,1
1485,Hard,3,3,R,183.0,28.5,128.0,R,180.0,29.5,137.0,-0.09803208296052635,1,1
1488,Hard,3,4,R,193.0,23.6,35.0,R,188.0,31.8,40.0,-0.19264507794239627,1,0
1525,Clay,3,1,R,180.0,24.2,88.0,R,183.0,26.7,243.0,-1.465380884968484,0,0
1537,Hard,3,1,R,188.0,20.9,165.0,R,170.0,24.5,39.0,2.0809199953835673,1,0
1539,Hard,3,1,R,196.0,22.6,83.0,R,185.0,26.0,47.0,0.8204505796692869,0,1
1559,Hard,3,1,R,185.0,29.3,146.0,L,178.0,28.3,139.0,0.07088348615650997,0,1
1563,Hard,3,1,R,188.0,29.6,36.0,R,173.0,25.8,26.0,0.4694852833012195,1,0
1564,Clay,3,1,R,180.0,20.8,622.0,R,178.0,20.5,428.0,0.5393037837294568,1,1
1573,Carpet,3,1,R,185.0,21.7,301.0,R,190.0,22.3,415.0,-0.4633478494745855,0,0
1578,Hard,3,2,R,183.0,26.0,63.0,R,183.0,22.4,56.0,0.16992500144231304,1,1
1606,Hard,3,4,R,193.0,30.8,29.0,R,183.0,31.7,4.0,2.857980995127572,0,0
1609,Hard,3,4,R,193.0,26.1,119.0,R,183.0,25.6,47.0,1.340228911630306,1,0
1612,Hard,3,4,R,183.0,26.4,185.0,R,188.0,23.9,14.0,3.7240265384587077,1,1
