iter	Logloss
0	0.6827153295
1	0.6739365719
2	0.6668787773
3	0.6607022798
4	0.6555607269
5	0.6512991878
6	0.6477009907
7	0.6447489587
8	0.6422182803
9	0.6401770222
10	0.6384937217
11	0.637004591
12	0.6356967221
13	0.6345980786
14	0.6336802892
15	0.6329158235
16	0.6322860381
17	0.6317158633
18	0.6312219888
19	0.6308644303
20	0.6304987727
21	0.6301896012
22	0.6298845145
23	0.6296676045
24	0.6294569805
25	0.6292876054
26	0.6291089525
27	0.6289622051
28	0.6288536412
29	0.6287202459
30	0.6286405032
31	0.6285317821
32	0.6284306007
33	0.6283234228
34	0.6282112239
35	0.6281657435
36	0.6281364868
37	0.6280837278
38	0.6280532781
39	0.6280173138
40	0.6279503899
41	0.6278848049
42	0.6278283861
43	0.6277790064
44	0.6277300055
45	0.6276981793
46	0.6276471526
47	0.6275830343
48	0.6275635798
49	0.6275116851
50	0.6274854745
51	0.6274363607
52	0.6273820499
53	0.6273098763
54	0.6272601689
55	0.6272195954
56	0.62718529
57	0.6271501868
58	0.6271155571
59	0.6270654673
60	0.6270337486
61	0.6270054644
62	0.6269757544
63	0.6269715448
64	0.6269494347
65	0.6269122881
66	0.6268845503
67	0.626844274
68	0.6267979331
69	0.6267639376
70	0.6267215456
71	0.6266966364
72	0.6266438573
73	0.6266026031
74	0.6265597281
75	0.6265171327
76	0.6264947509
77	0.6264809464
78	0.6264452505
79	0.6263999749
80	0.6263745823
81	0.6263395955
82	0.6263128299
83	0.6262978506
84	0.6262620255
85	0.6262295152
86	0.626202818
87	0.6261715932
88	0.6261523093
89	0.62611942
90	0.6260848166
91	0.6260848165
92	0.6260557187
93	0.6260304331
94	0.6259940369
95	0.6259931528
96	0.6259757131
97	0.6259378469
98	0.6259157956
99	0.6258693517
100	0.6258239133
101	0.625810021
102	0.625756955
103	0.6257374354
104	0.6257073915
105	0.6256836067
106	0.6256366814
107	0.625609701
108	0.6255708989
109	0.6255529044
110	0.6255077335
111	0.6254828987
112	0.6254658454
113	0.6254288827
114	0.6253812358
115	0.6253547764
116	0.6252972128
117	0.6252468886
118	0.6252211802
119	0.6251776412
120	0.6251526868
121	0.6251215074
122	0.6250967967
123	0.6250537938
124	0.6250223741
125	0.6249967169
126	0.6249722749
127	0.6249361198
128	0.6249122825
129	0.6248658278
130	0.6248405555
131	0.6248335631
132	0.6248000414
133	0.624771191
134	0.6247321802
135	0.6247220957
136	0.6246933116
137	0.6246640341
138	0.6246133031
139	0.6245723987
140	0.6245479666
141	0.6245090916
142	0.6244717485
143	0.6244428637
144	0.6244054958
145	0.6243677418
146	0.6243365033
147	0.6242820924
148	0.624262982
149	0.6242359428
150	0.6242152173
151	0.624189381
152	0.6241587871
153	0.6241265019
154	0.6240753922
155	0.6240194867
156	0.6239694569
157	0.6239334787
158	0.6239073158
159	0.6238724502
160	0.6238391603
161	0.6237867861
162	0.6237407991
163	0.6236995654
164	0.623663839
165	0.62361622
166	0.623577078
167	0.6235614865
168	0.623511917
169	0.6234790983
170	0.6234252262
171	0.6233740678
172	0.6233460279
173	0.6233321021
174	0.6232895243
175	0.623268279
176	0.6232257431
177	0.6231823809
178	0.6231412979
179	0.6231006791
180	0.6230821509
181	0.623039444
182	0.623011554
183	0.6229673765
184	0.6229359684
185	0.622896363
186	0.6228734822
187	0.6228354443
188	0.6228084619
189	0.6227728689
190	0.6227250923
191	0.6226888534
192	0.6226598124
193	0.6226245102
194	0.6225794028
195	0.6225506951
196	0.6225084788
197	0.6224710126
198	0.6224315337
199	0.6223783319
200	0.6223238692
201	0.6222964079
202	0.6222652887
203	0.6222321791
204	0.6221927415
205	0.6221590882
206	0.6221118902
207	0.6220939554
208	0.6220716722
209	0.6220304199
210	0.6220001069
211	0.6219726536
212	0.621955364
213	0.6219422347
214	0.6219316823
215	0.6218833435
216	0.6218367376
217	0.6218031498
218	0.6217697952
219	0.6217408181
220	0.6217138242
221	0.6216710037
222	0.6216218112
223	0.6215884318
224	0.6215549291
225	0.6215130361
226	0.6214652592
227	0.6214216407
228	0.6213805176
229	0.6213601132
230	0.6213390837
231	0.6213112763
232	0.6212864114
233	0.6212623897
234	0.6212242449
235	0.6212019898
236	0.6211679946
237	0.6211249441
238	0.6210723989
239	0.6210398067
240	0.6210322499
241	0.6209956695
242	0.6209665024
243	0.6209525902
244	0.620929631
245	0.6209035114
246	0.6208699342
247	0.6208470595
248	0.6208165688
249	0.6207829128
250	0.6207619162
251	0.6207179693
252	0.6206740938
253	0.6206424069
254	0.6206159441
255	0.6205810843
256	0.6205538348
257	0.6205208468
258	0.6204638542
259	0.6204124118
260	0.6203980312
261	0.6203617798
262	0.6203201549
263	0.6202896412
264	0.6202608018
265	0.6202158787
266	0.620201995
267	0.6201671815
268	0.6201471095
269	0.6201086459
270	0.6201019265
271	0.6200765231
272	0.6200583614
273	0.62001844
274	0.6199863926
275	0.6199716368
276	0.6199290329
277	0.6198847976
278	0.6198635218
279	0.6198427056
280	0.6198182791
281	0.6197994112
282	0.6197586971
283	0.6197227048
284	0.6197045459
285	0.6196940431
286	0.6196580213
287	0.6196269454
288	0.6196123536
289	0.6195788463
290	0.6195395333
291	0.6195029717
292	0.6194613084
293	0.619439622
294	0.6194138002
295	0.6193820948
296	0.6193461411
297	0.6192961153
298	0.6192796498
299	0.6192535381
300	0.6191991808
301	0.6191681286
302	0.619138681
303	0.6191113905
304	0.6190709091
305	0.6190257392
306	0.6189927814
307	0.6189662472
308	0.6189313298
309	0.6188755739
310	0.6188397421
311	0.6188052556
312	0.618769902
313	0.6187365845
314	0.6187003122
315	0.6186637945
316	0.6186366099
317	0.618612941
318	0.6185723798
319	0.6185338233
320	0.6184938843
321	0.6184649075
322	0.6184419408
323	0.6184293088
324	0.6184065656
325	0.6183819809
326	0.6183356038
327	0.6183113429
328	0.6182896255
329	0.6182479987
330	0.6182104655
331	0.6181920812
332	0.618163521
333	0.618142982
334	0.6181042955
335	0.6180811388
336	0.6180416033
337	0.6180127063
338	0.617983963
339	0.6179447276
340	0.6179247227
341	0.6179008994
342	0.6178475254
343	0.6178386945
344	0.6177831414
345	0.6177601737
346	0.617721768
347	0.6176832731
348	0.6176607211
349	0.6176374737
350	0.6176043777
351	0.6175711483
352	0.6175370304
353	0.6175078492
354	0.6174546699
355	0.6174319267
356	0.6174178165
357	0.6173803216
358	0.6173376027
359	0.6173043303
360	0.6172838061
361	0.6172689863
362	0.617247529
363	0.6172278617
364	0.6171896718
365	0.617145445
366	0.617110387
367	0.6170851818
368	0.6170332633
369	0.6169877168
370	0.6169697268
371	0.6169476568
372	0.6169071044
373	0.6168810691
374	0.6168728981
375	0.616834777
376	0.6168092664
377	0.6167766953
378	0.6167604984
379	0.61671904
380	0.6166840272
381	0.6166597158
382	0.6166294278
383	0.6165947655
384	0.6165641707
385	0.6165484822
386	0.6165017622
387	0.6164856903
388	0.616456394
389	0.6164351945
390	0.6164023786
391	0.6163647908
392	0.6163447847
393	0.6163127522
394	0.616277895
395	0.616248321
396	0.6162261668
397	0.6161817527
398	0.6161329937
399	0.6160968584
400	0.6160612113
401	0.6160420872
402	0.6160146078
403	0.6159851353
404	0.6159641682
405	0.6159463642
406	0.6159181826
407	0.6159004682
408	0.6158800517
409	0.6158515974
410	0.6158282458
411	0.6158033766
412	0.6157918329
413	0.6157666719
414	0.6157262739
415	0.6156781888
416	0.6156454388
417	0.6156231039
418	0.6155844239
419	0.6155592264
420	0.6155406184
421	0.6154913317
422	0.615464302
423	0.615434567
424	0.6153841946
425	0.6153569356
426	0.615337109
427	0.6153148883
428	0.6152769274
429	0.61526175
430	0.6152293173
431	0.6152143019
432	0.6151912022
433	0.6151687547
434	0.6151584007
435	0.615137686
436	0.6150977871
437	0.6150638691
438	0.6150314855
439	0.6150145915
440	0.6149791801
441	0.6149625734
442	0.6149262798
443	0.6148972184
444	0.6148647285
445	0.6148510219
446	0.6148351083
447	0.6147878975
448	0.6147668117
449	0.6147427959
450	0.614715767
451	0.6146908051
452	0.6146660246
453	0.614636426
454	0.6146122165
455	0.6145803186
456	0.6145605274
457	0.614543499
458	0.6145179158
459	0.614479991
460	0.6144445721
461	0.6144300252
462	0.6144090433
463	0.6143794879
464	0.6143560155
465	0.6143387646
466	0.6142868736
467	0.614254908
